read_length_bp,sample_quality_score,coverage_depth,is_whole_genome,sequencing_hours
3625,6.9,65,1,37.32
8133,4.4,48,0,50.63
5696,7.0,58,0,37.29
5180,9.1,55,1,35.79
9149,7.8,10,1,42.8
5225,2.3,55,0,39.17
2511,3.1,13,1,43.59
9919,8.3,83,1,59.99
1077,4.2,53,0,24.32
6563,5.1,38,1,43.32
2699,2.0,91,1,60.2
3306,7.7,82,0,23.52
3378,7.6,44,1,29.72
4278,2.0,28,1,42.03
6435,1.7,16,1,36.67
9514,3.1,45,1,60.77
4015,2.6,62,0,32.46
9738,6.1,66,0,45.28
4491,8.6,22,1,31.6
7461,4.1,26,0,34.94
2004,6.9,30,0,27.31
3535,2.0,16,1,39.66
7744,5.6,18,0,24.52
1228,1.8,61,0,25.25
5882,6.3,17,1,37.97
